ノードＩＤ,緯度経度桁数コード,緯度,経度,高さ
00001B000000000309CF0E2662D47FC1,3,35.42.46.038,139.45.33.681,0,
00001B000000000309CF0EA662D7FFC1,3,35.42.46.153,139.45.34.370,0,
00001B000000000309CF1DA662AE7FC1,3,35.42.49.103,139.45.26.048,0,
00001B000000000309CF312662BC7FC1,3,35.42.53.084,139.45.28.873,0,
00001B000000000309CF342662BBFFC1,3,35.42.53.681,139.45.28.715,0,
00001B000000000309CF332662C57FC1,3,35.42.53.424,139.45.30.627,0,
00001B000000000309CF38A662C3FFC1,3,35.42.54.593,139.45.30.313,0,
00001B000000000309CF32A662C37FC1,3,35.42.53.352,139.45.30.256,0,
00001B000000000309CF22A662C3FFC1,3,35.42.50.198,139.45.30.325,0,
00001B000000000309CF1D2662C4FFC1,3,35.42.49.065,139.45.30.508,0,
00001B000000000309CEA7A662EEFFC1,3,35.42.25.550,139.45.38.938,0,
00001B000000000309CEB9A66321FFC1,3,35.42.29.133,139.45.49.132,0,
00001B000000000309CEB9A66321FFC2,3,35.42.29.133,139.45.49.194,0,
00001B000000000309CEAAA662E77FC1,3,35.42.26.136,139.45.37.467,0,
00001B000000000309CEA1A662DC7FC1,3,35.42.24.349,139.45.35.280,0,
00001B000000000309CEAC2662EDFFC1,3,35.42.26.477,139.45.38.744,0,
00001B000000000309CEAC2662EE7FC1,3,35.42.26.474,139.45.38.866,0,
00001B000000000309CEAB2662E27FC1,3,35.42.26.250,139.45.36.470,0,
00001B000000000309CEB5A662F3FFC1,3,35.42.28.352,139.45.39.967,0,
00001B000000000309CEA42662EA7FC1,3,35.42.24.806,139.45.38.021,0,
00001B000000000309CEA42662E9FFC1,3,35.42.24.800,139.45.37.933,0,
00001B000000000309CEA72662E9FFC1,3,35.42.25.461,139.45.37.920,0,
00001B000000000309CEA72662E97FC1,3,35.42.25.464,139.45.37.801,0,
00001B000000000309CED4A662E37FC1,3,35.42.34.575,139.45.36.638,0,
00001B000000000309CED4A662E2FFC1,3,35.42.34.568,139.45.36.581,0,
00001B000000000309CF01A662B87FC1,3,35.42.43.512,139.45.28.005,0,
00001B000000000309CF022662B7FFC1,3,35.42.43.600,139.45.27.997,0,
00001B000000000309CF00A662D6FFC1,3,35.42.43.306,139.45.34.121,0,
90001,3,35.42.46.672,139.45.35.334,0,
90002,3,35.42.42.860,139.45.36.385,0,
90003,3,35.42.43.750,139.45.40.391,0,
90004,3,35.42.38.179,139.45.37.686,0,
90006,3,35.42.47.070,139.45.37.469,0,
90007,3,35.42.48.502,139.45.34.845,0,
90008,3,35.42.51.184,139.45.49.330,0,
90010,3,35.42.32.130,139.45.49.220,0,
90013,3,35.42.33.864,139.45.46.562,0,
90014,3,35.42.33.687,139.45.45.482,0,
90015,3,35.42.33.359,139.45.43.433,0,
90016,3,35.42.33.092,139.45.41.931,0,
90017,3,35.42.36.739,139.45.40.959,0,
90019,3,35.42.36.998,139.45.42.266,0,
